"ID","FTR"
191,"H"
192,"H"
193,"A"
194,"A"
195,"H"
196,"H"
197,"A"
198,"H"
199,"A"
200,"H"
201,"D"
202,"A"
203,"H"
204,"H"
205,"H"
206,"H"
207,"A"
208,"A"
209,"D"
210,"A"
211,"A"
212,"A"
213,"H"
214,"H"
215,"A"
216,"A"
217,"D"
218,"H"
219,"D"
220,"H"
221,"H"
222,"H"
223,"H"
224,"A"
225,"D"
226,"H"
227,"H"
228,"H"
229,"D"
230,"H"
231,"A"
232,"H"
233,"H"
234,"A"
235,"A"
236,"H"
237,"D"
238,"H"
239,"A"
240,"D"
241,"A"
242,"H"
243,"D"
244,"H"
245,"H"
246,"H"
247,"H"
248,"A"
249,"H"
250,"H"
251,"D"
252,"A"
253,"D"
254,"A"
255,"D"
256,"D"
257,"D"
258,"D"
259,"H"
260,"H"
261,"D"
262,"A"
263,"D"
264,"H"
265,"D"
266,"H"
267,"D"
268,"H"
269,"H"
270,"H"
271,"A"
272,"H"
273,"A"
274,"D"
275,"A"
276,"H"
277,"A"
278,"D"
279,"A"
280,"A"
281,"H"
282,"H"
283,"A"
284,"H"
285,"H"
286,"H"
287,"H"
288,"H"
289,"H"
290,"A"
291,"H"
292,"A"
293,"H"
294,"H"
295,"H"
296,"H"
297,"H"
298,"A"
299,"A"
300,"H"
301,"H"
302,"H"
303,"A"
304,"D"
305,"H"
306,"H"
307,"H"
308,"H"
309,"H"
310,"H"
311,"D"
312,"D"
313,"H"
314,"H"
315,"A"
316,"H"
317,"H"
318,"H"
319,"H"
320,"H"
321,"A"
322,"A"
323,"H"
324,"H"
325,"H"
326,"D"
327,"H"
328,"H"
329,"D"
330,"H"
331,"D"
332,"H"
333,"H"
334,"H"
335,"H"
336,"H"
337,"H"
338,"H"
339,"H"
340,"H"
341,"A"
342,"D"
343,"A"
344,"D"
345,"H"
346,"H"
347,"H"
348,"A"
349,"D"
350,"H"
351,"A"
352,"A"
353,"A"
354,"H"
355,"H"
356,"H"
357,"H"
358,"H"
359,"H"
360,"A"
361,"A"
362,"H"
363,"H"
364,"H"
365,"D"
366,"H"
367,"H"
368,"A"
369,"H"
370,"A"
371,"H"
372,"A"
373,"A"
374,"D"
375,"H"
376,"A"
377,"D"
378,"H"
379,"A"
380,"H"
381,"A"
382,"H"
383,"H"
384,"H"
385,"A"
386,"H"
387,"H"
388,"D"
389,"H"
390,"A"
391,"H"
392,"A"
393,"A"
394,"H"
395,"A"
396,"H"
397,"D"
398,"H"
399,"A"
400,"A"
401,"H"
402,"A"
403,"H"
404,"H"
405,"H"
406,"D"
407,"A"
408,"H"
409,"H"
410,"H"
411,"H"
412,"A"
413,"A"
414,"A"
415,"A"
416,"H"
417,"D"
418,"H"
419,"H"
420,"H"
421,"D"
422,"H"
423,"D"
424,"D"
425,"H"
426,"H"
427,"H"
428,"H"
429,"H"
430,"H"
431,"H"
432,"H"
433,"H"
434,"A"
435,"D"
436,"D"
437,"A"
438,"A"
439,"H"
440,"A"
441,"H"
442,"D"
443,"A"
444,"D"
445,"H"
446,"A"
447,"H"
448,"D"
449,"H"
450,"A"
451,"A"
452,"A"
453,"A"
454,"A"
455,"A"
456,"H"
457,"H"
458,"H"
459,"D"
460,"A"
461,"H"
462,"H"
463,"D"
464,"H"
465,"A"
466,"D"
467,"H"
468,"H"
469,"A"
470,"H"
471,"D"
472,"H"
473,"H"
474,"H"
475,"H"
476,"H"
477,"A"
478,"A"
479,"D"
480,"H"
481,"H"
482,"A"
483,"H"
484,"A"
485,"H"
486,"A"
487,"H"
488,"H"
489,"D"
490,"A"
491,"A"
492,"H"
493,"H"
494,"H"
495,"A"
496,"H"
497,"A"
498,"A"
499,"A"
500,"H"
501,"D"
502,"H"
503,"H"
504,"H"
505,"H"
506,"D"
507,"A"
508,"A"
509,"A"
510,"A"
511,"H"
512,"H"
513,"H"
514,"H"
515,"D"
516,"H"
517,"A"
518,"H"
519,"A"
520,"H"
521,"A"
522,"A"
523,"H"
524,"A"
525,"H"
526,"D"
527,"H"
528,"A"
529,"H"
530,"H"
531,"H"
532,"H"
533,"H"
534,"H"
535,"H"
536,"H"
537,"H"
538,"H"
539,"A"
540,"H"
541,"A"
542,"H"
543,"A"
544,"H"
545,"H"
546,"H"
547,"H"
548,"H"
549,"A"
550,"H"
551,"H"
552,"A"
553,"H"
554,"H"
555,"H"
556,"D"
557,"A"
558,"H"
559,"A"
560,"A"
561,"A"
562,"A"
563,"A"
564,"H"
565,"H"
566,"H"
567,"D"
568,"H"
569,"D"
570,"H"
571,"H"
572,"A"
573,"A"
574,"H"
575,"A"
576,"H"
577,"H"
578,"A"
579,"A"
580,"A"
581,"H"
582,"A"
583,"A"
584,"H"
585,"H"
586,"A"
587,"H"
588,"A"
589,"H"
590,"H"
591,"A"
592,"A"
593,"A"
594,"H"
595,"H"
596,"H"
597,"H"
598,"A"
599,"H"
600,"A"
601,"A"
602,"A"
603,"A"
604,"H"
605,"H"
606,"A"
607,"H"
608,"H"
609,"A"
610,"H"
